Designator,Mid X,Mid Y,Layer,Rotation
BATTERY,-6.09,21.80,Top,90.0
C1,21.84,23.88,Top,180.0
C2,21.84,21.23,Top,180.0
C3,21.84,18.59,Top,0.0
C4,21.84,15.62,Top,0.0
C5,35.13,31.09,Top,270.0
C6,10.24,13.07,Top,270.0
CHARGER,11.20,17.40,Top,90.0
CHARGING,16.18,11.50,Top,270.0
D1, 7.05,12.45,Top,180.0
D2,16.18, 7.65,Top,270.0
ESP-12,36.08,16.61,Top,180.0
FLASH,38.99, 2.03,Top,180.0
J1,17.53, 3.49,Top,0.0
LDO,17.27,21.08,Top,270.0
OFF->ON,14.78,31.13,Top,180.0
R1,21.84,10.34,Top,0.0
R2,21.84,12.98,Top,0.0
R3,29.83, 1.96,Top,90.0
R4,32.43, 1.91,Top,90.0
R5,25.98, 1.93,Top,270.0
R6,25.65,31.09,Top,90.0
R7,28.24,31.09,Top,270.0
R8,30.82,31.09,Top,270.0
R10,16.18,14.54,Top,270.0
R11,12.40,13.07,Top,90.0
RESET,38.99,30.99,Top,0.0
SOLAR,-6.09,11.20,Top,90.0
